RUN	PerformanceTest	performancetest	1549555994276	 	3.0.3
USER	OrderItemsAndAcceptOrder	1	START	1549555995492	1549555995492
USER	OrderItemsAndAcceptOrder	2	START	1549555995630	1549555995630
USER	OrderItemsAndAcceptOrder	3	START	1549555995730	1549555995730
USER	OrderItemsAndAcceptOrder	4	START	1549555995829	1549555995829
USER	OrderItemsAndAcceptOrder	5	START	1549555995930	1549555995930
USER	OrderItemsAndAcceptOrder	6	START	1549555996030	1549555996030
USER	OrderItemsAndAcceptOrder	7	START	1549555996130	1549555996130
REQUEST	1		Login as a Client	1549555995519	1549555996156	OK	 
USER	OrderItemsAndAcceptOrder	8	START	1549555996228	1549555996228
REQUEST	2		Login as a Client	1549555995630	1549555996252	OK	 
USER	OrderItemsAndAcceptOrder	9	START	1549555996330	1549555996330
REQUEST	3		Login as a Client	1549555995731	1549555996351	OK	 
USER	OrderItemsAndAcceptOrder	10	START	1549555996430	1549555996430
REQUEST	4		Login as a Client	1549555995831	1549555996454	OK	 
USER	OrderItemsAndAcceptOrder	11	START	1549555996531	1549555996531
REQUEST	5		Login as a Client	1549555995931	1549555996553	OK	 
USER	OrderItemsAndAcceptOrder	12	START	1549555996631	1549555996631
REQUEST	6		Login as a Client	1549555996031	1549555996656	OK	 
USER	OrderItemsAndAcceptOrder	13	START	1549555996730	1549555996730
REQUEST	7		Login as a Client	1549555996131	1549555996756	OK	 
USER	OrderItemsAndAcceptOrder	14	START	1549555996830	1549555996830
REQUEST	8		Login as a Client	1549555996229	1549555996851	OK	 
USER	OrderItemsAndAcceptOrder	15	START	1549555996930	1549555996930
REQUEST	9		Login as a Client	1549555996331	1549555996938	OK	 
USER	OrderItemsAndAcceptOrder	16	START	1549555997028	1549555997028
REQUEST	10		Login as a Client	1549555996431	1549555997041	OK	 
USER	OrderItemsAndAcceptOrder	17	START	1549555997130	1549555997130
REQUEST	11		Login as a Client	1549555996532	1549555997148	OK	 
USER	OrderItemsAndAcceptOrder	18	START	1549555997229	1549555997229
REQUEST	12		Login as a Client	1549555996632	1549555997243	OK	 
USER	OrderItemsAndAcceptOrder	19	START	1549555997330	1549555997330
REQUEST	13		Login as a Client	1549555996731	1549555997344	OK	 
USER	OrderItemsAndAcceptOrder	20	START	1549555997431	1549555997431
REQUEST	14		Login as a Client	1549555996831	1549555997441	OK	 
USER	OrderItemsAndAcceptOrder	21	START	1549555997528	1549555997528
REQUEST	15		Login as a Client	1549555996931	1549555997543	OK	 
USER	OrderItemsAndAcceptOrder	22	START	1549555997600	1549555997600
REQUEST	16		Login as a Client	1549555997029	1549555997640	OK	 
USER	OrderItemsAndAcceptOrder	23	START	1549555997701	1549555997701
REQUEST	17		Login as a Client	1549555997131	1549555997743	OK	 
USER	OrderItemsAndAcceptOrder	24	START	1549555997800	1549555997800
REQUEST	18		Login as a Client	1549555997230	1549555997843	OK	 
USER	OrderItemsAndAcceptOrder	25	START	1549555997900	1549555997900
REQUEST	19		Login as a Client	1549555997331	1549555997944	OK	 
USER	OrderItemsAndAcceptOrder	26	START	1549555997999	1549555997999
REQUEST	20		Login as a Client	1549555997432	1549555998044	OK	 
USER	OrderItemsAndAcceptOrder	27	START	1549555998099	1549555998099
REQUEST	21		Login as a Client	1549555997529	1549555998145	OK	 
REQUEST	1		View Order Page	1549555998184	1549555998190	OK	 
USER	OrderItemsAndAcceptOrder	28	START	1549555998200	1549555998200
REQUEST	22		Login as a Client	1549555997601	1549555998211	OK	 
REQUEST	2		View Order Page	1549555998272	1549555998279	OK	 
